College Code,College Name,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AERONAUTICAL ENGINEERING,195,192.5,191.5,191,184.545,159.5,
1106,Jaya Engineering College Thirunindravur Chennai 602024,AERONAUTICAL ENGINEERING,102.5,,,,***,,
1123,Gojan School of Business and Technology Alamathi Chennai 600062,AERONAUTICAL ENGINEERING,127,***,108,***,113.5,,
1124,SAMS College of Engineering and Technology Panappakkam Chennai-Tirupathi Road Uthukkottai Taluk Thiruvallur District 601102,AERONAUTICAL ENGINEERING,,,,,,,
1125,PMR Engineering College Adayalampattu Chennai-600095,AERONAUTICAL ENGINEERING,,,,,,,
1211,Rajalakshmi Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,AERONAUTICAL ENGINEERING,178,168,173.5,159.5,140,103.5,
1222,P B College of Engineering Irungkattukottai Sriperumpudur Taluk Kancheepuram District 602117,AERONAUTICAL ENGINEERING,123.5,***,,,,,
1230,Apollo Engineering College Mevaloorkuppam Valarpuram Post Sriperumpudur Kancheepuram District 602105,AERONAUTICAL ENGINEERING,***,,,,,,
1311,K C G College of Technology (Autonomous) Karappakkam Chennai 600096,AERONAUTICAL ENGINEERING,165.5,159,158,130.5,134,164,
1322,Dhanalakshmi Srinivasan College of Engineering and Technology East Coast Road Poonjeri Chennai 603104,AERONAUTICAL ENGINEERING,126,***,,***,***,,
1411,Madha Engineering College Kundrathur Chennai 600069,AERONAUTICAL ENGINEERING,106,***,,***,,,
1420,Tagore Engineering College Rathnamangalam Vandalur Post Chennai 600048,AERONAUTICAL ENGINEERING,108.5,***,107.5,,***,,
1434,Surya Group of Institutions GST Road Vikravandi Village Villupuram District 605652,AERONAUTICAL ENGINEERING,***,,,,,,
1518,Thiruvalluvar College of Engineering and Technology Vandavasi Thiruvannamalai District 604505,AERONAUTICAL ENGINEERING,***,,,,,,
2601,Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,AERONAUTICAL ENGINEERING,***,,,,,,
2609,Mahendra Engineering College (Autonomous) Mahendhirapuri Mallasamudram Namakkal District 637503,AERONAUTICAL ENGINEERING,123,***,,***,***,108,
2611,Paavai Engineering College (Autonomous) NH-7 Pachal Post Namakkal District 637018,AERONAUTICAL ENGINEERING,116,***,,***,***,,
2621,Er. Perumal Manimekalai College of Engineering (Autonomous) Near Koneripalli Hosur Krishnagiri District 635117,AERONAUTICAL ENGINEERING,109.5,90,***,94.5,,,
2634,Excel Engineering College (Autonomous) NH-544 Salem Main Road Pallakapalayam Sankari West Post Komarapalayam Taluk Namakkal District - 637303,AERONAUTICAL ENGINEERING,125.5,***,,***,80,,
2708,Hindusthan College of Engineering and Technology (Autonomous) Othakkalmandapam Post Coimbatore District 641032,AERONAUTICAL ENGINEERING,152,130.5,139.5,126.5,118,,
2712,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,AERONAUTICAL ENGINEERING,183.5,172,183.5,165.5,152.5,146.5,
2716,Park College of Engineering and Technology Kaniyur Coimbatore District 641659,AERONAUTICAL ENGINEERING,99.5,,,***,,,
2719,Sri Ramakrishna Engineering College (Autonomous) Vattamalaipalayam Coimbatore District 641022,AERONAUTICAL ENGINEERING,163.5,150.5,,146.5,119.5,,
2729,Nehru Institute of Engineering and Technology Thirumalayampalayam Post Coimbatore District 641105,AERONAUTICAL ENGINEERING,152.5,125,149,130.5,121,137,
2740,Hindusthan Institute of Technology (Autonomous) Othakkalmandapam Coimbatore District 641032,AERONAUTICAL ENGINEERING,138.5,123.5,131.5,117,***,,
2750,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,AERONAUTICAL ENGINEERING,145,124,,113,112,111.5,121.5
2755,Nehru Institute of Technology (Autonomous) Thirumalayampalayam Post Coimbatore District 641105,AERONAUTICAL ENGINEERING,159,125.5,141.5,132,108,---,
3786,M.A.M. School of Engineering Siruganur Tiruchirappalli District 621105,AERONAUTICAL ENGINEERING,89,,,,,,
3805,Dhanalakshmi Srinivasan Engineering College (Autonomous) Thuraiyur Road Perambalur District 621212,AERONAUTICAL ENGINEERING,122,***,115,***,***,,
3807,J J College of Engineering and Technology Poolankulathupatti Post Thiruchirappalli District 620009,AERONAUTICAL ENGINEERING,118.5,96,108.5,***,98.5,,
3833,Parisutham Institute of Technology and Science Ring Road Nanjikottai Thanjavur District 613006,AERONAUTICAL ENGINEERING,***,,,,,,
4943,Satyam College of Engineering and Technology Satyam Nagar Aralvoimozhi Kanyakumari-629301,AERONAUTICAL ENGINEERING,***,,,,,,
4964,PSN College of Engineering and Technology (Autonomous) Melathediyoor Tirunelveli-627 152,AERONAUTICAL ENGINEERING,104.5,***,***,***,***,,
4976,Infant Jesus College of Engineering Thoothukudi Highway (NH7/A) Thoothukudi District 628851,AERONAUTICAL ENGINEERING,102.5,,,,***,,
4978,Udaya School of Engineering Ammandivilai Post Kanyakumari District 629204,AERONAUTICAL ENGINEERING,***,,,,,,
4983,Lord Jegannath College of Engineering and Technology Kumarapuram Thoppur Post Kanyakumari District 629402,AERONAUTICAL ENGINEERING,***,,,,,,
5862,"R V S Educational Trust's Groups of Institutions, (Integrated Campus) N Paraipatti Post Vedasandur Taluk Dindigul District 624005",AERONAUTICAL ENGINEERING,95,,,,,,
5907,Mohamed Sathak Engineering College Kilakarai Ramanathapuram District 623806,AERONAUTICAL ENGINEERING,***,,,,,,
1311,K C G College of Technology (Autonomous) Karappakkam Chennai 600096,AEROSPACE ENGINEERING,178,166,164.5,123,141,137,
2609,Mahendra Engineering College (Autonomous) Mahendhirapuri Mallasamudram Namakkal District 637503,AEROSPACE ENGINEERING,124,***,113.5,95,85,85,
2726,SNS College of Technology (Autonomous) Kalappatti Post Coimbatore District 641035,AEROSPACE ENGINEERING,161.5,147,138.5,138.5,***,,
2768,Park College of Technology Prema Ravi Nagar Karumathampatti Coimbatore - 641 659,AEROSPACE ENGINEERING,109.5,,,,,,
1126,J N N Institute of Engineering Ushaa Garden Kannigaipair Village (Autonomous) Uthukottai Taluk Thiruvallur District 601102,AGRICULTURAL ENGINEERING,171.605,***,,***,***,,
1150,Sri Jayaram Institute of Engineering and Technology 51 N Elavur 58N Natham Gummidipoondi Taluk Thiruvallur District 601201,AGRICULTURAL ENGINEERING,,,,,,,
1216,Saveetha Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,AGRICULTURAL ENGINEERING,147.5,131,128.5,133.5,122,,
1303,Anand Institute of Higher Technology Old Mahabalipuram Road (OMR) Kazhipattur Chengalpattu District 603103,AGRICULTURAL ENGINEERING,***,,,,,,
1322,Dhanalakshmi Srinivasan College of Engineering and Technology East Coast Road Poonjeri Chennai 603104,AGRICULTURAL ENGINEERING,103.5,***,,***,***,,
1422,SRM Valliammai Engineering College (Autonomous) Kattankulathur Chennai 603203,AGRICULTURAL ENGINEERING,132,***,115,104,***,,
1434,Surya Group of Institutions GST Road Vikravandi Village Villupuram District 605652,AGRICULTURAL ENGINEERING,109,,,,***,,
1449,Saraswathy College of Engineering and Technology NH-45 Main Road Olakkur Tindivanam Taluk Villupuram District 604307,AGRICULTURAL ENGINEERING,108,,,***,,,
1452,PERI Institute of Technology Mannivakkam West Tambaram Chennai 600048,AGRICULTURAL ENGINEERING,,,,,,,
1504,Arunai Engineering College Mathur Thiruvannamalai District 606603,AGRICULTURAL ENGINEERING,100.5,,,***,***,,
2302,Sri Shanmugha College of Engineering and Technology Morur Bit II Village Salem District 637304,AGRICULTURAL ENGINEERING,109.5,***,,***,***,,
2314,Muthayammal College of Engineering Kakkaveri Post Namakkal District 637408,AGRICULTURAL ENGINEERING,***,,,,,,
2329,Rathinam Technical Campus (Autonomous) Pollachi Road Eachanari Coimbatore District 641021,AGRICULTURAL ENGINEERING,140,131.5,113.5,119.5,***,,
2338,Asian College of Engineering and Technology Asian College Road Kondayampalayam Near Saravanampatti Coimbatore District 641110,AGRICULTURAL ENGINEERING,104.5,,,***,80,86.5,
